PERIOD_DATE,PRODUNIT_ID,QTY
1/19/2021 0:00,ID20,"6,215"
1/19/2021 0:00,ID16,"1,435"
1/19/2021 0:00,ID18,122
1/19/2021 0:00,ID1,500
1/19/2021 0:00,ID17,704
1/19/2021 0:00,ID2,65
1/19/2021 0:00,ID12,"1,168"
1/19/2021 0:00,ID5,"2,353"
1/19/2021 0:00,ID13,"1,340"
1/19/2021 0:00,ID14,"1,290"
1/19/2021 0:00,ID15,50
1/19/2021 0:00,ID6,"3,836"
1/19/2021 0:00,ID7,70
1/19/2021 0:00,ID19,"2,281"
1/19/2021 0:00,ID10,353
1/19/2021 0:00,ID11,79
1/19/2021 0:00,ID4,"1,226"
1/20/2021 0:00,ID5,"1,722"
1/20/2021 0:00,ID12,"1,234"
1/20/2021 0:00,ID14,"1,272"
1/20/2021 0:00,ID15,46
1/20/2021 0:00,ID6,"3,273"
1/20/2021 0:00,ID7,40
1/20/2021 0:00,ID19,"1,626"
1/20/2021 0:00,ID9,182
1/20/2021 0:00,ID10,369
1/20/2021 0:00,ID8,621
1/20/2021 0:00,ID11,93
1/20/2021 0:00,ID4,973
1/20/2021 0:00,ID3,272
1/20/2021 0:00,ID21,555
1/20/2021 0:00,ID20,"5,072"
1/20/2021 0:00,ID16,"1,615"
1/20/2021 0:00,ID18,213
1/20/2021 0:00,ID1,338
1/20/2021 0:00,ID17,600
1/20/2021 0:00,ID2,61
1/20/2021 0:00,ID13,"1,318"
1/21/2021 0:00,ID7,27
1/21/2021 0:00,ID6,"3,336"
1/21/2021 0:00,ID10,383
1/21/2021 0:00,ID9,228
1/21/2021 0:00,ID8,439
1/21/2021 0:00,ID11,90
1/21/2021 0:00,ID4,925
1/21/2021 0:00,ID3,193
1/21/2021 0:00,ID21,881
1/21/2021 0:00,ID20,"7,581"
1/21/2021 0:00,ID16,"1,569"
1/21/2021 0:00,ID18,235
1/21/2021 0:00,ID1,499
1/21/2021 0:00,ID17,846
1/21/2021 0:00,ID2,58
1/21/2021 0:00,ID12,383
1/21/2021 0:00,ID5,"2,706"
1/21/2021 0:00,ID13,"1,251"
1/21/2021 0:00,ID14,"1,193"
1/21/2021 0:00,ID15,58
1/21/2021 0:00,ID19,"2,304"
1/22/2021 0:00,ID10,349
1/22/2021 0:00,ID8,481
1/22/2021 0:00,ID4,984
1/22/2021 0:00,ID3,-
1/22/2021 0:00,ID21,692
1/22/2021 0:00,ID20,"6,015"
1/22/2021 0:00,ID16,"1,129"
1/22/2021 0:00,ID18,172
1/22/2021 0:00,ID1,425
1/22/2021 0:00,ID17,642
1/22/2021 0:00,ID2,172
1/22/2021 0:00,ID12,432
1/22/2021 0:00,ID5,"2,284"
1/22/2021 0:00,ID13,"1,023"
1/22/2021 0:00,ID14,948
1/22/2021 0:00,ID15,75
1/22/2021 0:00,ID6,"2,871"
1/22/2021 0:00,ID7,52
1/22/2021 0:00,ID19,"2,129"
1/22/2021 0:00,ID11,154
1/22/2021 0:00,ID9,138
1/23/2021 0:00,ID5,"1,073"
1/23/2021 0:00,ID12,762
1/23/2021 0:00,ID15,12
1/23/2021 0:00,ID14,44
1/23/2021 0:00,ID6,126
1/23/2021 0:00,ID7,3
1/23/2021 0:00,ID19,513
1/23/2021 0:00,ID11,32
1/23/2021 0:00,ID9,12
1/23/2021 0:00,ID8,6
1/23/2021 0:00,ID4,243
1/23/2021 0:00,ID3,-
1/23/2021 0:00,ID21,653
1/23/2021 0:00,ID20,"4,930"
1/23/2021 0:00,ID16,521
1/23/2021 0:00,ID18,167
1/23/2021 0:00,ID1,99
1/23/2021 0:00,ID17,104
1/23/2021 0:00,ID13,56
1/24/2021 0:00,ID5,33
1/24/2021 0:00,ID12,581
1/24/2021 0:00,ID15,13
1/24/2021 0:00,ID14,68
1/24/2021 0:00,ID6,261
1/24/2021 0:00,ID7,2
1/24/2021 0:00,ID19,99
1/24/2021 0:00,ID11,19
1/24/2021 0:00,ID10,41
1/24/2021 0:00,ID8,21
1/24/2021 0:00,ID4,220
1/24/2021 0:00,ID3,-
1/24/2021 0:00,ID21,17
1/24/2021 0:00,ID20,157
1/24/2021 0:00,ID16,483
1/24/2021 0:00,ID18,183
1/24/2021 0:00,ID1,41
1/24/2021 0:00,ID17,139
1/24/2021 0:00,ID13,81
1/25/2021 0:00,ID5,"2,355"
1/25/2021 0:00,ID12,928
1/25/2021 0:00,ID15,71
1/25/2021 0:00,ID14,850
1/25/2021 0:00,ID6,"2,874"
1/25/2021 0:00,ID7,74
1/25/2021 0:00,ID19,"1,967"
1/25/2021 0:00,ID11,118
1/25/2021 0:00,ID8,352
1/25/2021 0:00,ID10,213
1/25/2021 0:00,ID9,199
1/25/2021 0:00,ID4,898
1/25/2021 0:00,ID3,-
1/25/2021 0:00,ID21,"1,058"
1/25/2021 0:00,ID20,"8,484"
1/25/2021 0:00,ID16,"1,066"
1/25/2021 0:00,ID18,244
1/25/2021 0:00,ID1,465
1/25/2021 0:00,ID17,540
1/25/2021 0:00,ID2,35
1/25/2021 0:00,ID13,921
1/26/2021 0:00,ID16,"1,340"
1/26/2021 0:00,ID20,"7,162"
1/26/2021 0:00,ID1,448
1/26/2021 0:00,ID17,721
1/26/2021 0:00,ID2,19
1/26/2021 0:00,ID12,"1,530"
1/26/2021 0:00,ID5,"2,725"
1/26/2021 0:00,ID13,979
1/26/2021 0:00,ID15,56
1/26/2021 0:00,ID14,923
1/26/2021 0:00,ID6,"2,477"
1/26/2021 0:00,ID7,24
